"TID","VSID"
"0","28"
"1","22"
"2","3"
"3","3"
"4","21"
"5","1"
"6","2"
"7","3"
"8","9"
"9","16"
"10","23"
"11","36"
"12","4"
"13","3"
"14","5"
"15","8"
"16","9"
"17","40"
"18","15"
"19","9"
"20","13"
"21","28"
"22","41"
"23","2"
"24","34"
"25","33"
"26","16"
"27","28"
"28","28"
"29","16"
"30","21"
"31","36"
"32","36"
"33","14"
"34","3"
"35","41"
"36","3"
"37","5"
"38","22"
"39","4"
"40","28"
"41","6"
"42","7"
"43","22"
"44","21"
"45","3"
"46","3"
"47","38"
"48","4"
"49","2"
"50","3"
"51","5"
"52","38"
"53","16"
"54","40"
"55","21"
"56","4"
"57","22"
"58","31"
"59","6"
"60","8"
"61","9"
"62","6"
"63","14"
"64","8"
"65","36"
"66","16"
"67","3"
"68","36"
"69","9"
"70","26"
"71","16"
"72","6"
"73","20"
"74","31"
"75","20"
"76","22"
"77","36"
"78","31"
"79","16"
"80","22"
"81","34"
"82","4"
"83","4"
"84","3"
"85","5"
"86","16"
"87","33"
"88","16"
"89","23"
"90","13"
"91","14"
"92","9"
"93","15"
"94","16"
"95","16"
"96","16"
"97","9"
"98","27"
"99","9"
"100","8"
"101","6"
"102","7"
"103","3"
"104","3"
"105","7"
"106","41"
"107","7"
"108","15"
"109","7"
"110","5"
"111","4"
"112","36"
"113","36"
"114","7"
"115","6"
"116","6"
"117","14"
"118","16"
"119","16"
"120","35"
"121","7"
"122","16"
"123","4"
"124","3"
"125","4"
"126","18"
"127","18"
"128","2"
"129","17"
"130","17"
"131","6"
"132","7"
"133","40"
"134","36"
"135","7"
"136","16"
"137","3"
"138","18"
"139","19"
"140","20"
"141","15"
"142","14"
"143","9"
"144","6"
"145","7"
"146","21"
"147","31"
"148","21"
"149","4"
"150","3"
"151","21"
"152","28"
"153","3"
"154","26"
"155","19"
"156","19"
"157","27"
"158","27"
"159","3"
"160","3"
"161","3"
"162","34"
"163","6"
"164","38"
"165","7"
"166","7"
"167","7"
"168","9"
"169","15"
"170","7"
"171","16"
"172","22"
"173","38"
"174","9"
"175","6"
"176","5"
"177","34"
"178","34"
"179","34"
"180","16"
"181","29"
"182","38"
"183","8"
"184","9"
"185","27"
"186","26"
"187","15"
"188","8"
"189","16"
"190","4"
"191","16"
"192","22"
"193","3"
"194","34"
"195","1"
"196","29"
"197","16"
"198","22"
"199","16"
"200","4"
"201","29"
"202","3"
"203","39"
"204","6"
"205","3"
"206","5"
"207","18"
"208","20"
"209","5"
"210","4"
"211","33"
"212","33"
"213","6"
"214","20"
"215","3"
"216","3"
"217","3"
"218","3"
"219","22"
"220","23"
"221","22"
"222","16"
"223","16"
"224","21"
"225","4"
"226","3"
"227","22"
"228","3"
"229","22"
"230","28"
"231","38"
"232","7"
"233","7"
"234","7"
"235","16"
"236","7"
"237","16"
"238","4"
"239","42"
"240","28"
"241","28"
"242","31"
"243","16"
"244","33"
"245","22"
"246","3"
"247","36"
"248","4"
"249","19"
"250","20"
"251","4"
"252","16"
"253","26"
"254","16"
"255","4"
"256","7"
"257","15"
"258","7"
"259","16"
"260","36"
"261","38"
"262","38"
"263","22"
"264","15"
"265","26"
"266","41"
"267","14"
"268","6"
"269","7"
"270","36"
"271","2"
"272","36"
"273","36"
"274","4"
"275","3"
"276","3"
"277","3"
"278","18"
"279","6"
"280","19"
"281","19"
"282","8"
"283","26"
"284","5"
"285","5"
"286","38"
"287","16"
"288","6"
"289","16"
"290","33"
"291","33"
"292","6"
"293","8"
"294","9"
"295","6"
"296","4"
"297","3"
"298","3"
"299","4"
"300","3"
"301","7"
"302","3"
"303","22"
"304","16"
"305","28"
"306","33"
"307","6"
"308","31"
"309","15"
"310","7"
"311","16"
"312","4"
"313","4"
"314","4"
"315","3"
"316","2"
"317","3"
"318","3"
"319","28"
"320","3"
"321","39"
"322","3"
"323","2"
"324","39"
"325","14"
"326","26"
"327","38"
"328","8"
"329","8"
"330","15"
"331","36"
"332","16"
"333","3"
"334","6"
"335","38"
"336","8"
"337","38"
"338","22"
"339","3"
"340","2"
"341","2"
"342","3"
"343","3"
"344","27"
"345","20"
"346","4"
"347","22"
"348","3"
"349","3"
"350","22"
"351","4"
"352","7"
"353","4"
"354","6"
"355","38"
"356","28"
"357","22"
"358","16"
"359","3"
"360","4"
"361","4"
"362","16"
"363","3"
"364","3"
"365","5"
"366","29"
"367","16"
"368","40"
"369","14"
"370","6"
"371","16"
"372","20"
"373","30"
"374","27"
"375","20"
"376","21"
"377","31"
"378","21"
"379","4"
"380","28"
"381","22"
"382","9"
"383","19"
"384","5"
"385","27"
"386","7"
"387","7"
"388","7"
"389","16"
"390","34"
"391","3"
"392","16"
"393","41"
"394","33"
"395","6"
"396","15"
"397","7"
"398","16"
"399","22"
"400","8"
"401","1"
"402","36"
"403","3"
"404","3"
"405","38"
"406","40"
"407","38"
"408","1"
"409","3"
"410","3"
"411","3"
"412","28"
"413","1"
"414","38"
"415","6"
"416","16"
"417","4"
"418","3"
"419","6"
"420","32"
"421","33"
"422","8"
"423","16"
"424","31"
"425","16"
"426","26"
"427","16"
"428","4"
"429","22"
"430","7"
"431","7"
"432","36"
"433","15"
"434","4"
"435","34"
"436","3"
"437","5"
"438","16"
"439","8"
"440","22"
"441","2"
"442","3"
"443","3"
"444","3"
"445","4"
"446","34"
"447","29"
"448","16"
"449","26"
"450","9"
"451","9"
"452","28"
"453","38"
"454","28"
"455","16"
"456","13"
"457","37"
"458","23"
"459","16"
"460","16"
"461","28"
"462","22"
"463","16"
"464","9"
"465","9"
"466","9"
"467","9"
"468","36"
"469","26"
"470","4"
"471","28"
"472","9"
"473","9"
"474","21"
"475","21"
"476","7"
"477","35"
"478","36"
"479","16"
"480","32"
"481","22"
"482","36"
"483","21"
"484","18"
"485","18"
"486","19"
"487","20"
"488","42"
"489","26"
"490","16"
"491","4"
"492","3"
"493","3"
"494","2"
"495","33"
"496","22"
"497","18"
"498","27"
"499","33"
"500","16"
"501","35"
"502","34"
"503","37"
"504","3"
"505","16"
"506","2"
"507","29"
"508","4"
"509","43"
"510","33"
"511","27"
"512","27"
"513","27"
"514","7"
"515","29"
"516","3"
"517","5"
"518","29"
"519","16"
"520","4"
"521","3"
"522","7"
"523","21"
"524","38"
"525","38"
"526","38"
"527","28"
"528","16"
"529","16"
"530","22"
"531","16"
"532","28"
"533","5"
"534","3"
"535","39"
"536","5"
"537","6"
"538","31"
"539","6"
"540","5"
"541","20"
"542","38"
"543","6"
"544","36"
"545","22"
"546","37"
"547","16"
"548","7"
"549","39"
"550","32"
"551","33"
"552","6"
"553","41"
"554","16"
"555","40"
"556","40"
"557","28"
"558","28"
"559","28"
"560","3"
"561","38"
"562","38"
"563","28"
"564","22"
"565","3"
"566","2"
"567","2"
"568","27"
"569","16"
"570","38"
"571","38"
"572","36"
"573","6"
"574","1"
"575","38"
"576","28"
"577","22"
"578","28"
"579","16"
"580","42"
"581","16"
"582","32"
"583","34"
"584","34"
"585","38"
"586","28"
"587","39"
"588","34"
"589","6"
"590","35"
"591","36"
"592","16"
"593","16"
"594","15"
"595","36"
"596","21"
"597","7"
"598","33"
"599","36"
"600","16"
"601","31"
"602","43"
"603","37"
"604","16"
"605","38"
"606","38"
"607","31"
"608","22"
"609","4"
"610","1"
"611","2"
"612","3"
"613","41"
"614","4"
"615","19"
"616","14"
"617","8"
"618","8"
"619","22"
"620","16"
"621","23"
"622","16"
"623","39"
"624","39"
"625","2"
"626","20"
"627","34"
"628","34"
"629","3"
"630","3"
"631","4"
"632","16"
"633","20"
"634","2"
"635","34"
"636","3"
"637","5"
"638","6"
"639","40"
"640","41"
"641","16"
"642","42"
"643","16"
"644","7"
"645","9"
"646","15"
"647","28"
"648","21"
"649","28"
"650","40"
"651","38"
"652","28"
"653","28"
"654","38"
"655","31"
"656","31"
"657","38"
"658","28"
"659","22"
"660","16"
"661","22"
"662","38"
"663","16"
"664","4"
"665","41"
"666","41"
"667","16"
"668","33"
"669","36"
"670","33"
"671","28"
"672","22"
"673","16"
"674","31"
"675","40"
"676","9"
"677","16"
"678","38"
"679","40"
"680","41"
"681","16"
"682","22"
"683","4"
"684","6"
"685","36"
"686","18"
"687","4"
"688","36"
"689","3"
"690","29"
"691","19"
"692","16"
"693","28"
"694","5"
"695","39"
"696","2"
"697","1"
"698","14"
"699","38"
"700","28"
"701","42"
"702","8"
"703","9"
"704","3"
"705","1"
"706","32"
"707","3"
"708","23"
"709","14"
"710","4"
"711","40"
"712","41"
"713","16"
"714","16"
"715","35"
"716","36"
"717","18"
"718","39"
"719","33"
"720","33"
"721","23"
"722","33"
"723","15"
"724","23"
"725","28"
"726","21"
"727","33"
"728","33"
"729","33"
"730","33"
"731","13"
"732","6"
"733","43"
"734","28"
"735","5"
"736","4"
"737","5"
"738","3"
"739","5"
"740","29"
"741","5"
"742","22"
"743","22"
"744","6"
"745","22"
"746","7"
"747","26"
"748","16"
"749","4"
"750","21"
"751","20"
"752","19"
"753","9"
"754","21"
"755","21"
"756","16"
"757","23"
"758","22"
"759","16"
"760","16"
"761","2"
"762","16"
"763","38"
"764","28"
"765","22"
"766","16"
"767","41"
"768","16"
"769","20"
"770","38"
"771","38"
"772","28"
"773","22"
"774","6"
"775","38"
"776","28"
"777","16"
"778","7"
"779","26"
"780","16"
"781","16"
"782","3"
"783","4"
"784","3"
"785","3"
"786","36"
"787","18"
"788","19"
"789","38"
"790","16"
"791","17"
"792","6"
"793","7"
"794","16"
"795","38"
"796","28"
"797","31"
"798","34"
"799","34"
"800","3"
"801","3"
"802","8"
"803","4"
"804","4"
"805","26"
"806","16"
"807","4"
"808","9"
"809","38"
"810","7"
"811","38"
"812","36"
"813","4"
"814","3"
"815","17"
"816","23"
"817","16"
"818","23"
"819","23"
"820","20"
"821","27"
"822","27"
"823","38"
"824","22"
"825","4"
"826","3"
"827","4"
"828","1"
"829","36"
"830","5"
"831","38"
"832","22"
"833","16"
"834","13"
"835","13"
"836","43"
"837","13"
"838","36"
"839","22"
"840","3"
"841","3"
"842","20"
"843","29"
"844","2"
"845","2"
"846","3"
"847","5"
"848","29"
"849","38"
"850","38"
"851","28"
"852","4"
"853","20"
"854","22"
"855","38"
"856","38"
"857","31"
"858","38"
"859","28"
"860","16"
"861","38"
"862","21"
"863","38"
"864","6"
"865","6"
"866","7"
"867","16"
"868","4"
"869","18"
"870","19"
"871","18"
"872","36"
"873","20"
"874","16"
"875","33"
"876","36"
"877","16"
"878","9"
"879","16"
"880","27"
"881","27"
"882","20"
"883","4"
"884","22"
"885","16"
"886","28"
"887","22"
"888","8"
"889","41"
"890","7"
"891","26"
"892","36"
"893","16"
"894","1"
"895","9"
"896","41"
"897","16"
"898","4"
"899","28"
"900","9"
"901","21"
"902","4"
"903","7"
"904","34"
"905","3"
"906","5"
"907","16"
"908","26"
"909","16"
"910","26"
"911","38"
"912","38"
"913","28"
"914","38"
"915","9"
"916","43"
"917","8"
"918","8"
"919","28"
"920","3"
"921","3"
"922","5"
"923","29"
"924","23"
"925","16"
"926","22"
"927","38"
"928","28"
"929","22"
"930","4"
"931","21"
"932","4"
"933","7"
"934","16"
"935","28"
"936","28"
"937","38"
"938","28"
"939","22"
"940","4"
"941","36"
"942","16"
"943","15"
"944","14"
"945","16"
"946","26"
"947","20"
"948","1"
"949","2"
"950","3"
"951","5"
"952","5"
"953","29"
"954","3"
"955","41"
"956","41"
"957","16"
"958","4"
"959","4"
"960","14"
"961","42"
"962","8"
"963","9"
"964","32"
"965","2"
"966","3"
"967","3"
"968","28"
"969","22"
"970","28"
"971","4"
"972","41"
"973","19"
"974","41"
"975","23"
"976","33"
"977","23"
"978","40"
"979","23"
"980","16"
"981","32"
"982","33"
"983","33"
"984","16"
"985","4"
"986","3"
"987","3"
"988","16"
"989","43"
"990","13"
"991","37"
"992","16"
"993","9"
"994","21"
"995","36"
"996","3"
"997","36"
"998","4"
"999","26"
"1000","16"
"1001","16"
"1002","35"
"1003","31"
"1004","21"
"1005","4"
"1006","4"
"1007","16"
"1008","6"
"1009","17"
"1010","6"
"1011","7"
"1012","28"
"1013","22"
"1014","7"
"1015","40"
"1016","33"
"1017","27"
"1018","16"
"1019","4"
"1020","9"
"1021","41"
"1022","16"
"1023","3"
"1024","3"
"1025","3"
"1026","39"
"1027","2"
"1028","3"
"1029","29"
"1030","29"
"1031","2"
"1032","29"
"1033","29"
"1034","1"
"1035","3"
"1036","5"
"1037","16"
"1038","3"
"1039","39"
"1040","2"
"1041","9"
"1042","35"
"1043","36"
"1044","16"
"1045","16"
"1046","20"
"1047","4"
"1048","3"
"1049","8"
"1050","31"
"1051","21"
"1052","4"
"1053","9"
"1054","43"
"1055","13"
"1056","14"
"1057","38"
"1058","38"
"1059","38"
"1060","16"
"1061","28"
"1062","28"
"1063","22"
"1064","26"
"1065","3"
"1066","20"
"1067","5"
"1068","21"
"1069","4"
"1070","2"
"1071","3"
"1072","3"
"1073","33"
"1074","32"
"1075","22"
"1076","7"
"1077","15"
"1078","17"
"1079","16"
"1080","43"
"1081","15"
"1082","22"
"1083","32"
"1084","3"
"1085","1"
"1086","2"
"1087","3"
"1088","28"
"1089","28"
"1090","28"
"1091","22"
"1092","23"
"1093","23"
"1094","22"
"1095","16"
"1096","3"
"1097","3"
"1098","3"
"1099","3"
"1100","34"
"1101","3"
"1102","5"
"1103","29"
"1104","33"
"1105","22"
"1106","28"
"1107","33"
"1108","28"
"1109","28"
"1110","21"
"1111","29"
"1112","39"
"1113","3"
"1114","4"
"1115","2"
"1116","7"
"1117","28"
"1118","22"
"1119","16"
"1120","38"
"1121","38"
"1122","5"
"1123","34"
"1124","3"
"1125","5"
"1126","22"
"1127","23"
"1128","22"
"1129","3"
"1130","19"
"1131","34"
"1132","4"
"1133","8"
"1134","18"
"1135","18"
"1136","4"
"1137","4"
"1138","38"
"1139","6"
"1140","7"
"1141","16"
"1142","36"
"1143","35"
"1144","3"
"1145","6"
"1146","16"
"1147","36"
"1148","14"
"1149","35"
"1150","35"
"1151","36"
"1152","6"
"1153","16"
"1154","34"
"1155","16"
"1156","20"
"1157","20"
"1158","3"
"1159","20"
"1160","38"
"1161","42"
"1162","8"
"1163","9"
"1164","4"
"1165","7"
"1166","31"
"1167","7"
"1168","31"
"1169","33"
"1170","3"
"1171","3"
"1172","27"
"1173","20"
"1174","27"
"1175","28"
"1176","16"
"1177","28"
"1178","37"
"1179","35"
"1180","36"
"1181","16"
"1182","1"
"1183","16"
"1184","2"
"1185","7"
"1186","4"
"1187","3"
"1188","3"
"1189","39"
"1190","2"
"1191","5"
"1192","33"
"1193","33"
"1194","6"
"1195","6"
"1196","5"
"1197","29"
"1198","29"
"1199","6"
"1200","7"
"1201","34"
"1202","6"
"1203","32"
"1204","33"
"1205","36"
"1206","3"
"1207","29"
"1208","13"
"1209","42"
"1210","42"
"1211","38"
"1212","26"
"1213","1"
"1214","16"
"1215","8"
"1216","8"
"1217","38"
"1218","9"
"1219","16"
"1220","22"
"1221","22"
"1222","31"
"1223","13"
"1224","14"
"1225","9"
"1226","33"
"1227","4"
"1228","20"
"1229","20"
"1230","27"
"1231","20"
"1232","15"
"1233","8"
"1234","9"
"1235","8"
"1236","28"
"1237","14"
"1238","21"
"1239","14"
"1240","3"
"1241","4"
"1242","38"
"1243","38"
"1244","28"
"1245","22"
"1246","21"
"1247","20"
"1248","34"
"1249","3"
"1250","3"
"1251","26"
"1252","6"
"1253","28"
"1254","16"
"1255","3"
"1256","3"
"1257","7"
"1258","34"
"1259","7"
"1260","34"
"1261","14"
"1262","6"
"1263","28"
"1264","7"
"1265","27"
"1266","9"
"1267","8"
"1268","40"
"1269","41"
"1270","16"
"1271","7"
"1272","17"
"1273","6"
"1274","7"
"1275","16"
"1276","41"
"1277","23"
"1278","14"
"1279","22"
"1280","16"
"1281","6"
"1282","35"
"1283","28"
"1284","23"
"1285","29"
"1286","5"
"1287","26"
"1288","4"
"1289","35"
"1290","35"
"1291","36"
"1292","16"
"1293","7"
"1294","6"
"1295","7"
"1296","16"
"1297","6"
"1298","8"
"1299","9"
"1300","6"
"1301","4"
"1302","1"
"1303","2"
"1304","18"
"1305","16"
"1306","8"
"1307","9"
"1308","8"
"1309","9"
"1310","6"
"1311","5"
"1312","3"
"1313","7"
"1314","43"
"1315","13"
"1316","14"
"1317","33"
"1318","6"
"1319","7"
"1320","16"
"1321","16"
"1322","22"
"1323","16"
"1324","21"
"1325","16"
"1326","6"
"1327","7"
"1328","23"
"1329","9"
"1330","16"
"1331","16"
"1332","7"
"1333","16"
"1334","6"
"1335","16"
"1336","28"
"1337","22"
"1338","22"
"1339","28"
"1340","2"
"1341","3"
"1342","28"
"1343","6"
"1344","4"
"1345","22"
"1346","6"
"1347","33"
"1348","36"
"1349","16"
"1350","21"
"1351","22"
"1352","21"
"1353","30"
"1354","39"
"1355","1"
"1356","2"
"1357","3"
"1358","40"
"1359","16"
"1360","16"
"1361","20"
"1362","18"
"1363","16"
"1364","33"
"1365","33"
"1366","31"
"1367","28"
"1368","38"
"1369","3"
"1370","7"
"1371","4"
"1372","9"
"1373","9"
"1374","6"
"1375","7"
"1376","3"
"1377","4"
"1378","3"
"1379","5"
"1380","23"
"1381","37"
"1382","16"
"1383","4"
"1384","33"
"1385","36"
"1386","32"
"1387","16"
"1388","38"
"1389","16"
"1390","28"
"1391","36"
"1392","28"
"1393","8"
"1394","3"
"1395","40"
"1396","16"
"1397","6"
"1398","42"
"1399","28"
"1400","20"
"1401","6"
"1402","38"
"1403","28"
"1404","22"
"1405","3"
"1406","39"
"1407","2"
"1408","3"
"1409","28"
"1410","16"
"1411","3"
"1412","3"
"1413","1"
"1414","18"
"1415","4"
"1416","33"
"1417","28"
"1418","4"
"1419","36"
"1420","16"
"1421","6"
"1422","15"
"1423","7"
"1424","16"
"1425","9"
"1426","16"
"1427","16"
"1428","17"
"1429","28"
"1430","3"
"1431","34"
"1432","3"
"1433","3"
"1434","20"
"1435","18"
"1436","19"
"1437","20"
"1438","16"
"1439","27"
"1440","20"
"1441","4"
"1442","16"
"1443","4"
"1444","26"
"1445","7"
"1446","14"
"1447","9"
"1448","8"
"1449","7"
"1450","4"
"1451","3"
"1452","36"
"1453","3"
"1454","3"
"1455","39"
"1456","7"
"1457","29"
"1458","5"
"1459","33"
"1460","16"
"1461","33"
"1462","22"
"1463","34"
"1464","3"
"1465","4"
"1466","3"
"1467","3"
"1468","7"
"1469","26"
"1470","16"
"1471","4"
"1472","16"
"1473","6"
"1474","28"
"1475","28"
"1476","3"
"1477","3"
"1478","3"
"1479","16"
"1480","36"
"1481","4"
"1482","3"
"1483","5"
"1484","21"
"1485","31"
"1486","21"
"1487","4"
"1488","36"
"1489","36"
"1490","16"
"1491","36"
"1492","38"
"1493","38"
"1494","34"
"1495","34"
"1496","3"
"1497","5"
"1498","13"
"1499","37"
"1500","16"
"1501","13"
"1502","38"
"1503","6"
"1504","26"
"1505","42"
"1506","9"
"1507","28"
"1508","15"
"1509","28"
"1510","16"
"1511","13"
"1512","13"
"1513","41"
"1514","16"
"1515","8"
"1516","34"
"1517","22"
"1518","4"
"1519","7"
"1520","15"
"1521","41"
"1522","16"
"1523","4"
"1524","4"
"1525","16"
"1526","4"
"1527","3"
"1528","31"
"1529","4"
"1530","3"
"1531","3"
"1532","3"
"1533","34"
"1534","3"
"1535","40"
"1536","28"
"1537","22"
"1538","28"
"1539","22"
"1540","38"
"1541","3"
"1542","3"
"1543","3"
"1544","23"
"1545","23"
"1546","33"
"1547","32"
"1548","33"
"1549","36"
"1550","4"
"1551","6"
"1552","4"
"1553","27"
"1554","21"
"1555","31"
"1556","6"
"1557","32"
"1558","32"
"1559","38"
"1560","21"
"1561","1"
"1562","2"
"1563","2"
"1564","19"
"1565","18"
"1566","19"
"1567","19"
